sales_id,invoice_date,client_key,product_key,quantity_ordered,invoiced_unit_price
20051,2026-03-08,5001,103,180,128.14
20052,2026-06-23,5006,105,88,686.89
20053,2026-06-14,5013,103,116,186.48
20054,2026-03-28,5006,103,44,188.3
20055,2026-03-29,5006,102,89,390.27
20056,2026-02-11,5003,101,133,78.28
20057,2026-01-05,5005,104,17,1196.18
20058,2026-03-16,5008,101,122,79.89
20059,2026-05-05,5002,105,46,470.23
20060,2026-03-06,5007,103,192,184.3
20061,2026-05-09,5011,101,276,77.86
20062,2026-03-27,5010,104,55,959.93
20063,2026-05-20,5013,104,21,1189.25
20064,2026-04-14,5003,106,125,216.58
20065,2026-05-26,5007,103,174,173.06
20066,2026-06-24,5005,104,38,1167.85
20067,2026-05-30,5009,103,94,185.29
20068,2026-03-07,5006,105,100,692.8
20069,2026-01-22,5007,103,132,185.78
20070,2026-06-07,5015,105,777,503.24
20071,2026-06-13,5011,106,58,0.0
20072,2026-03-24,5008,101,251,79.85
20073,2026-02-01,5015,103,166,0.0
20074,2026-03-26,5008,103,53,163.49
20075,2026-04-08,5010,106,21,233.03
20076,2026-05-10,5011,104,56,1190.07
20077,2026-03-31,5015,105,76,686.47
20078,2026-06-24,5011,105,74,614.5
20079,2026-04-18,5003,103,47,152.77
20080,2026-04-12,5014,104,68,1172.36
20081,2026-04-19,5009,101,170,79.16
20082,2026-04-07,5013,106,136,233.6
20083,2026-04-07,5012,104,16,1171.11
20084,2026-04-15,5015,105,45,539.28
20085,2026-01-27,5007,104,1168,1185.71
20086,2026-04-08,5011,102,57,317.24
20087,2026-04-29,5002,102,97,443.95
20088,2026-03-07,5009,104,55,1167.42
20089,2026-01-30,5008,105,91,692.19
20090,2026-03-28,5006,102,139,449.5
20091,2026-03-17,5011,101,169,51.51
20092,2026-01-17,5004,101,120,79.51
20093,2026-01-30,5003,105,92,501.62
20094,2026-05-13,5004,104,31,1173.19
20095,2026-03-27,5011,104,35,1185.77
20096,2026-03-16,5014,102,59,365.74
20097,2026-02-22,5007,105,39,699.55
20098,2026-06-28,5008,104,70,685.45
20099,2026-02-21,5010,102,25,0.0
20100,2026-06-05,5009,105,23,696.14
20101,2026-01-09,5012,106,84,233.03
20102,2026-02-01,5002,104,21,1167.1
20103,2026-03-15,5014,103,151,184.69
20104,2026-06-16,5006,104,60,1194.92
20105,2026-04-23,5007,101,55,65.78
20106,2026-01-23,5013,103,162,188.28
20107,2026-06-27,5001,101,104,78.55
20108,2026-02-13,5008,104,68,1184.38
20109,2026-01-13,5010,101,95,79.46
20110,2026-01-16,5013,103,136,189.83
20111,2026-03-31,5006,105,1501,566.65
20112,2026-05-03,5015,106,59,238.71
20113,2026-05-10,5001,103,96,189.23
20114,2026-03-10,5008,101,95,77.81
20115,2026-06-17,5006,105,80,692.03
20116,2026-02-09,5014,104,21,1186.32
20117,2026-06-10,5011,105,53,696.61
20118,2026-06-22,5001,102,94,448.32
20119,2026-01-16,5003,102,104,449.8
20120,2026-03-15,5008,103,121,167.33
20121,2026-05-09,5009,102,51,439.03
20122,2026-06-26,5012,104,30,1188.7
20123,2026-04-23,5003,103,107,189.62
20124,2026-05-26,5010,105,54,689.18
20125,2026-05-26,5015,101,185,78.78
20126,2026-05-30,5001,101,143,65.06
20127,2026-05-18,5009,101,179,61.45
20128,2026-05-02,5011,103,65,186.11
20129,2026-02-08,5003,101,81,79.33
20130,2026-01-02,5006,104,24,1188.33
20131,2026-06-27,5003,103,36,186.03
20132,2026-06-08,5006,106,126,318.34
20133,2026-02-01,5009,101,91,55.51
20134,2026-06-11,5004,103,104,185.29
20135,2026-01-30,5013,102,51,438.45
20136,2026-03-29,5010,101,-86,79.62
20137,2026-03-25,5011,105,82,683.18
20138,2026-06-12,5002,105,84,698.78
20139,2026-02-21,5014,102,105,348.37
20140,2026-02-19,5015,104,16,1179.16
20141,2026-03-19,5008,102,103,445.36
20142,2026-03-05,5005,104,70,1181.17
20143,2026-05-11,5010,105,48,698.21
20144,2026-02-11,5007,102,106,360.28
20145,2026-02-28,5014,103,61,188.07
20146,2026-06-06,5007,105,-51,682.91
20147,2026-01-30,5003,106,24,239.65
20148,2026-01-21,5002,105,99,395.55
20149,2026-01-14,5009,106,34,186.47
20150,2026-05-13,5007,101,97,78.42
20151,2026-03-17,5004,104,46,1175.31
20152,2026-06-18,5011,101,180,78.12
20153,2026-06-17,5009,101,176,78.57
20154,2026-03-27,5006,105,63,551.99
20155,2026-05-28,5014,103,119,185.53
20156,2026-01-27,5008,104,32,1178.85
20157,2026-04-02,5006,102,-86,441.22
20158,2026-01-19,5012,104,41,763.29
20159,2026-01-31,5011,105,30,688.86
20160,2026-06-10,5001,102,31,446.53
20161,2026-05-30,5001,106,135,234.99
20162,2026-01-18,5012,102,42,667.06
20163,2026-03-15,5004,106,34,198.8
20164,2026-06-08,5007,105,35,607.58
20165,2026-05-14,5004,106,33,0.0
20166,2026-02-18,5008,104,-39,1182.52
20167,2026-03-07,5009,104,51,1173.77
20168,2026-05-04,5010,104,20,1174.72
20169,2026-02-18,5004,102,143,448.96
20170,2026-03-19,5013,101,64,60.41
20171,2026-04-26,5002,104,74,1092.39
20172,2026-02-10,5005,104,75,1168.62
20173,2026-01-10,5006,102,45,446.03
20174,2026-03-06,5001,105,23,682.39
20175,2026-05-16,5013,101,182,64.88
20176,2026-04-27,5015,102,117,439.74
20177,2026-03-22,5001,101,106,78.71
20178,2026-05-15,5005,106,442,238.2
20179,2026-01-25,5015,104,58,1176.81
20180,2026-03-21,5014,104,75,1194.89
20181,2026-06-25,5011,104,56,1182.7
20182,2026-04-15,5001,104,63,1169.36
20183,2026-03-19,5001,101,125,78.2
20184,2026-05-11,5015,102,117,444.78
20185,2026-02-19,5006,103,182,159.06
20186,2026-05-03,5015,105,89,695.05
20187,2026-02-07,5015,103,73,163.28
20188,2026-03-08,5014,104,77,1175.71
20189,2026-06-08,5004,102,28,438.89
20190,2026-06-21,5014,101,223,78.46
20191,2026-05-11,5011,101,119,0.0
20192,2026-02-18,5009,105,97,688.59
20193,2026-03-11,5012,101,155,79.02
20194,2026-02-02,5001,105,89,690.01
20195,2026-06-01,5008,104,20,1935.5
20196,2026-01-11,5006,101,181,59.71
20197,2026-02-19,5007,101,215,135.28
20198,2026-01-20,5008,106,2852,171.92
20199,2026-03-03,5007,104,57,1186.65
20200,2026-03-10,5004,101,111,0.0
20201,2026-05-16,5014,105,62,684.24
20202,2026-05-07,5013,104,79,1167.87
20203,2026-02-21,5014,106,133,207.76
20204,2026-01-23,5009,103,46,147.82
20205,2026-01-27,5004,103,3705,185.79
20206,2026-02-16,5002,102,24,337.74
20207,2026-06-27,5005,102,782,440.53
20208,2026-04-03,5004,105,56,657.37
20209,2026-01-02,5009,106,39,235.46
20210,2026-06-10,5003,104,10,1071.85
20211,2026-02-04,5003,103,50,132.4
20212,2026-02-02,5014,103,45,161.02
20213,2026-05-10,5007,106,28,238.19
20214,2026-03-07,5011,104,57,1198.66
20215,2026-04-17,5014,101,109,78.55
20216,2026-01-04,5009,105,67,682.19
20217,2026-04-29,5001,106,-46,237.8
20218,2026-01-18,5012,101,207,79.9
20219,2026-03-15,5008,106,140,233.11
20220,2026-05-14,5002,104,14,1181.02
20221,2026-05-13,5003,102,47,442.91
20222,2026-01-17,5008,102,-79,439.88
20223,2026-02-16,5015,106,58,178.82
20224,2026-03-05,5011,102,142,438.67
20225,2026-06-27,5015,105,96,686.86
20226,2026-06-03,5001,101,70,78.41
20227,2026-04-28,5010,103,122,187.52
20228,2026-04-12,5002,102,134,323.35
20229,2026-01-05,5001,106,134,233.71
20230,2026-03-06,5007,101,111,77.64
20231,2026-03-05,5011,105,66,1072.66
20232,2026-02-07,5010,104,26,1199.76
20233,2026-06-05,5008,106,33,172.58
20234,2026-06-03,5011,104,70,1195.79
20235,2026-01-13,5009,104,26,1199.78
20236,2026-06-01,5003,103,33,157.82
20237,2026-05-26,5013,103,50,186.17
20238,2026-05-28,5006,104,44,1172.72
20239,2026-01-29,5014,104,20,1056.92
20240,2026-06-03,5014,101,116,78.21
20241,2026-06-04,5011,102,123,449.03
20242,2026-03-02,5011,103,46,184.84
20243,2026-03-24,5001,101,2910,78.39
20244,2026-01-31,5010,101,69,77.73
20245,2026-03-01,5013,105,94,697.48
20246,2026-05-12,5004,102,45,446.73
20247,2026-02-18,5013,105,100,697.76
20248,2026-02-01,5004,102,77,420.93
20249,2026-05-22,5011,102,29,374.06
20250,2026-05-26,5014,102,30,442.49
20251,2026-04-01,5004,102,125,445.79
20252,2026-02-13,5003,104,46,1199.92
20253,2026-05-14,5006,103,198,185.19
20254,2026-04-05,5014,105,45,485.87
20255,2026-04-24,5014,103,111,184.91
20256,2026-01-01,5005,106,101,238.57
20257,2026-05-13,5004,106,40,233.83
20258,2026-05-15,5003,104,56,1108.89
20259,2026-01-19,5015,103,158,174.62
20260,2026-05-11,5012,102,50,437.96
20261,2026-05-10,5009,104,78,1187.29
20262,2026-03-15,5012,103,143,135.27
20263,2026-03-16,5009,105,66,697.43
20264,2026-06-09,5015,106,-74,233.17
20265,2026-03-02,5011,106,43,234.57
20266,2026-05-15,5003,106,100,232.91
20267,2026-03-18,5009,106,131,239.47
20268,2026-02-15,5010,106,41,238.13
20269,2026-03-25,5007,102,90,439.8
20270,2026-04-15,5005,103,111,188.82
20271,2026-02-21,5010,105,-30,679.93
20272,2026-02-26,5001,104,54,1195.5
20273,2026-02-23,5001,106,86,233.73
20274,2026-06-09,5005,106,110,236.24
20275,2026-03-24,5014,105,84,679.07
20276,2026-06-21,5014,104,48,1192.3
20277,2026-05-04,5008,103,190,189.09
20278,2026-02-26,5012,102,101,441.01
20279,2026-05-23,5010,102,96,353.86
20280,2026-06-16,5007,103,195,186.83
20281,2026-02-10,5012,106,45,236.55
20282,2026-01-25,5006,103,181,188.93
20283,2026-03-15,5001,105,35,516.22
20284,2026-05-19,5013,104,66,1165.22
20285,2026-06-28,5011,103,138,176.8
20286,2026-02-22,5012,102,44,438.45
20287,2026-03-22,5011,103,129,184.87
20288,2026-06-26,5008,101,264,74.7
20289,2026-05-08,5013,102,115,379.7
20290,2026-01-10,5002,104,12,1045.78
20291,2026-06-18,5007,103,64,108.34
20292,2026-02-03,5013,101,157,79.83
20293,2026-04-23,5014,103,147,137.58
20294,2026-06-03,5007,106,43,238.63
20295,2026-05-17,5009,106,134,235.57
20296,2026-04-24,5010,104,65,1180.45
20297,2026-06-23,5009,101,187,79.3
20298,2026-06-18,5007,101,124,77.87
20299,2026-03-23,5007,105,98,448.26
20300,2026-03-29,5013,105,59,560.0
20301,2026-05-30,5007,105,17,684.1
20302,2026-01-30,5009,105,41,698.97
20303,2026-02-15,5012,103,170,189.17
20304,2026-01-18,5007,105,79,0.0
20305,2026-04-04,5015,103,132,188.89
20306,2026-03-04,5004,103,144,184.36
20307,2026-04-07,5005,105,66,493.54
20308,2026-03-13,5010,104,53,876.65
20309,2026-01-04,5001,105,93,685.49
20310,2026-03-18,5009,104,60,1106.08
20311,2026-04-30,5012,106,99,134.95
20312,2026-05-14,5013,102,147,442.39
20313,2026-02-06,5004,104,30,1123.56
20314,2026-04-02,5013,105,19,686.13
20315,2026-04-13,5005,104,21,1175.67
20316,2026-02-06,5015,106,102,187.55
20317,2026-01-15,5002,102,72,444.3
20318,2026-06-10,5011,105,84,450.31
20319,2026-01-19,5002,102,131,726.04
20320,2026-05-15,5004,101,111,79.56
20321,2026-01-17,5001,104,16,1195.51
20322,2026-02-03,5012,104,30,2026.47
20323,2026-02-16,5011,104,55,0.0
20324,2026-06-19,5015,101,234,77.63
20325,2026-06-27,5007,104,20,1194.63
20326,2026-06-24,5005,106,108,182.16
20327,2026-01-20,5002,106,49,155.44
20328,2026-01-19,5007,105,31,695.82
20329,2026-01-29,5002,105,33,431.51
20330,2026-02-18,5010,105,40,621.57
20331,2026-05-16,5005,102,39,363.62
20332,2026-05-17,5012,104,23,0.0
20333,2026-05-18,5015,105,29,0.0
20334,2026-06-27,5014,101,215,60.4
20335,2026-01-30,5001,104,57,1191.99
20336,2026-04-10,5011,101,89,78.91
20337,2026-04-05,5003,101,272,77.95
20338,2026-02-22,5004,102,81,394.46
20339,2026-01-31,5002,103,30,187.24
20340,2026-02-16,5002,105,25,680.16
20341,2026-01-21,5009,106,52,233.98
20342,2026-01-11,5009,101,167,78.62
20343,2026-03-01,5005,102,102,437.98
20344,2026-01-23,5013,105,36,682.6
20345,2026-03-28,5001,106,84,233.91
20346,2026-05-19,5010,102,37,436.92
20347,2026-02-02,5006,106,105,238.78
20348,2026-01-11,5002,106,51,237.23
20349,2026-05-01,5010,101,252,107.23
20350,2026-05-31,5002,106,123,171.65
20351,2026-04-01,5013,102,143,448.45
20352,2026-05-21,5004,105,86,679.04
20353,2026-01-14,5008,102,148,438.05
20354,2026-03-28,5009,101,290,79.23
20355,2026-05-28,5015,104,75,926.77
20356,2026-05-12,5010,101,189,79.69
20357,2026-06-25,5006,101,256,78.29
20358,2026-06-07,5008,102,98,436.69
20359,2026-01-04,5009,106,54,237.58
20360,2026-06-03,5013,102,22,438.15
20361,2026-03-03,5008,102,132,440.05
20362,2026-06-01,5006,106,133,185.46
20363,2026-01-10,5003,105,73,691.73
20364,2026-01-06,5010,104,35,972.28
20365,2026-05-23,5011,103,91,187.65
20366,2026-05-03,5009,101,60,57.1
20367,2026-04-27,5013,101,220,77.85
20368,2026-03-12,5006,102,67,442.28
20369,2026-03-19,5005,101,248,64.17
20370,2026-06-08,5010,103,102,188.01
20371,2026-02-06,5004,101,224,112.29
20372,2026-02-10,5001,102,23,438.01
20373,2026-05-13,5008,103,83,184.99
20374,2026-02-04,5003,106,26,147.49
20375,2026-06-02,5007,104,31,785.51
20376,2026-05-16,5015,102,52,346.31
20377,2026-05-17,5011,106,76,237.15
20378,2026-05-19,5003,103,132,186.75
20379,2026-02-06,5010,101,54,71.05
20380,2026-04-10,5013,101,263,67.13
20381,2026-02-14,5014,102,1701,345.17
20382,2026-05-13,5001,103,60,144.61
20383,2026-02-19,5008,102,52,291.92
20384,2026-02-24,5015,103,41,188.68
20385,2026-01-18,5007,106,139,238.31
20386,2026-02-18,5005,103,31,185.26
20387,2026-02-22,5007,106,-25,185.87
20388,2026-05-21,5004,104,14,0.0
20389,2026-03-13,5002,103,111,134.01
20390,2026-06-04,5010,103,72,178.84
20391,2026-01-02,5002,102,83,372.04
20392,2026-02-21,5003,101,92,79.78
20393,2026-02-25,5009,106,31,175.18
20394,2026-04-13,5013,101,71,78.09
20395,2026-06-01,5007,101,-166,78.55
20396,2026-03-24,5015,104,63,1185.65
20397,2026-04-29,5008,101,235,60.83
20398,2026-02-23,5014,103,119,165.42
20399,2026-02-05,5012,106,122,233.87
20400,2026-04-14,5015,101,66,77.88
20401,2026-02-16,5013,106,59,332.42
20402,2026-03-21,5010,103,152,149.92
20403,2026-02-16,5006,104,39,1170.5
20404,2026-06-16,5003,104,30,1178.03
20405,2026-03-30,5012,102,34,442.5
20406,2026-04-26,5003,103,161,178.58
20407,2026-03-14,5008,101,55,78.71
20408,2026-06-17,5003,105,83,485.81
20409,2026-01-17,5008,103,630,186.86
20410,2026-05-29,5003,104,612,788.61
20411,2026-05-17,5004,106,41,237.5
20412,2026-02-10,5006,101,254,79.58
20413,2026-01-31,5003,105,29,685.08
20414,2026-05-31,5014,102,29,436.89
20415,2026-06-14,5010,106,138,236.5
20416,2026-05-19,5014,106,97,190.72
20417,2026-03-28,5009,102,24,439.28
20418,2026-05-04,5007,103,94,189.15
20419,2026-04-22,5002,103,101,189.51
20420,2026-04-23,5006,103,193,189.6
20421,2026-03-27,5001,103,125,187.67
20422,2026-06-27,5002,103,40,186.72
20423,2026-04-24,5011,105,50,657.88
20424,2026-06-19,5008,101,1488,79.05
20425,2026-04-09,5003,103,52,154.87
20426,2026-06-25,5015,106,135,185.32
20427,2026-05-23,5005,103,106,125.01
20428,2026-06-30,5010,103,191,186.28
20429,2026-02-06,5014,102,93,445.93
20430,2026-06-01,5011,102,80,440.51
20431,2026-06-17,5008,102,128,449.8
20432,2026-06-20,5011,106,56,200.82
20433,2026-02-12,5014,105,48,679.48
20434,2026-03-02,5014,106,41,396.01
20435,2026-02-13,5004,103,191,186.4
20436,2026-05-22,5012,106,34,235.2
20437,2026-05-07,5001,103,116,165.28
20438,2026-03-03,5015,106,77,236.66
20439,2026-06-22,5013,101,95,78.61
20440,2026-06-22,5001,105,92,699.31
20441,2026-04-11,5008,104,64,1166.47
20442,2026-04-04,5004,104,29,0.0
20443,2026-03-21,5009,103,112,114.99
20444,2026-04-02,5009,101,233,71.43
20445,2026-05-31,5009,106,80,235.84
20446,2026-01-19,5008,101,5842,78.19
20447,2026-05-27,5002,103,95,186.71
20448,2026-03-12,5001,104,31,1174.23
20449,2026-02-19,5012,102,63,345.75
20450,2026-01-16,5004,103,194,187.21
20451,2026-04-28,5008,102,72,440.2
20452,2026-05-30,5013,104,76,1171.25
20453,2026-01-12,5006,104,36,1102.97
20454,2026-02-18,5008,102,72,448.15
20455,2026-04-27,5006,104,12,1195.3
20456,2026-05-28,5005,105,76,686.1
20457,2026-01-03,5010,103,77,188.85
20458,2026-01-04,5003,101,83,79.72
20459,2026-02-14,5010,104,73,1197.05
20460,2026-04-10,5010,104,20,1031.41
20461,2026-03-23,5013,106,127,146.32
20462,2026-01-13,5014,103,157,188.1
20463,2026-05-03,5008,106,113,238.37
20464,2026-01-12,5008,104,17,1194.78
20465,2026-01-17,5011,106,131,133.68
20466,2026-04-07,5011,105,1088,680.34
20467,2026-04-18,5002,106,122,236.93
20468,2026-02-01,5001,104,51,1184.71
20469,2026-02-18,5008,106,44,166.5
20470,2026-05-14,5012,106,134,169.77
20471,2026-03-16,5014,104,42,861.87
20472,2026-01-14,5012,103,62,150.26
20473,2026-02-22,5002,106,47,233.88
20474,2026-04-09,5011,102,39,337.56
20475,2026-02-08,5012,102,121,447.42
20476,2026-02-17,5008,106,111,238.78
20477,2026-01-13,5004,102,31,442.9
20478,2026-01-15,5004,105,80,627.17
20479,2026-01-25,5011,103,73,185.5
20480,2026-02-02,5002,104,76,1105.07
20481,2026-06-09,5007,104,74,1164.52
20482,2026-04-10,5009,106,41,232.87
20483,2026-03-12,5009,104,52,1191.42
